Matchweek	Goals_scored	xgoals	Goals_concede	xgoals_allowed	vs
1	2	2.34	2	1.27	Fulham
2	1	2.24	1	1.64	Crystal_Palace
3	1	1.52	2	2.02	Manchester_United
4	9	4.86	0	0.18	Bournemouth
5	2	1.76	1	0.64	Newcastle
6	0	1.39	0	1.39	Everton
7	2	2.7	0	0.79	Wolverhampton_Wanderers
8	0	0.2	0	2.19	Chelsea
9	3	2.15	3	2.37	Brighton
10	2	0.77	3	2.82	Arsenal
11	1	2	0	0.91	Manchester_City
12	1	2.24	0	2.49	West_Ham
13	0	2.2	1	2.5	Nottingham_Forest
14	1	1.91	2	1.61	Leeds
15	2	1.47	1	1.82	Tottenham
16	3	2.74	1	1.43	Southampton
17	3	3.51	1	1.69	Aston_Villa
18	2	2.02	1	0.86	Leicester
19	1	2.1	3	2.1	Brentford
20	0	1.29	3	2.4	Brighton
21	0	1.3	0	1.84	Chelsea
22	0	1.3	3	2.63	Wolverhampton_Wanderers
23	2	2.23	0	0.4	Everton
24	2	2.17	0	1.75	Newcastle
25	0	1.35	0	0.99	Crystal_Palace
26	7	3.44	0	0.84	Manchester_United
27	0	2.13	1	1.1	Bournemouth
28	1	1.67	0	0.74	Fulham
29	1	0.32	4	3.01	Manchester_City
30	2	4.64	2	1.54	Arsenal
31	6	2.65	1	1.17	Leeds
32	3	3.33	2	0.72	Nottingham_Forest
33	2	1.7	1	0.94	West_Ham
34	4	2.43	3	1.45	Tottenham
35	1	1.99	0	0.18	Brentford
36	3	1.77	0	0.53	Leicester
37	1	0.92	1	1.47	Aston_Villa
38	4	4	4	1.34	Southampton
