Matchweek	Goals_scored	xgoals	Goals_concede	xgoals_allowed	vs
1	2	2.59	0	0.25	West_Ham
2	4	1.69	0	0.12	Bournemouth
3	3	3.67	3	2.21	Newcastle
4	4	2.39	2	0.09	Crystal_Palace
5	6	3.84	0	0.73	Nottingham_Forest
6	1	1.92	1	0.28	Aston_Villa
7	4	2.34	2	1.16	Tottenham
8	3	1.42	0	0.31	Wolverhampton_Wanderers
9	6	3.01	3	1.71	Manchester_United
10	4	2.74	0	0.1	Southampton
11	0	0.91	1	2	Liverpool
12	3	2.01	1	1.7	Arsenal
13	3	1.86	1	0.53	Brighton
14	1	0.7	0	0.69	Leicester
15	2	2.39	1	0.84	Fulham
16	1	1.61	2	3.29	Brentford
17	3	4.16	1	0.6	Leeds
18	1	2.36	1	0.08	Everton
19	1	1.72	0	0.49	Chelsea
20	1	0.74	2	1.98	Manchester_United
21	3	3.33	0	0.47	Wolverhampton_Wanderers
22	0	0.77	1	1.42	Tottenham
23	3	3.61	1	0.28	Aston_Villa
24	1	2.81	1	1.13	Nottingham_Forest
25	4	2.98	1	1.09	Bournemouth
26	2	1.34	0	0.36	Newcastle
27	1	2.19	0	0.19	Crystal_Palace
28	3	3	0	0.49	West_Ham
29	4	3.01	1	0.32	Liverpool
30	4	3.06	1	0.49	Southampton
31	3	1.61	1	1.93	Leicester
32	1	1.93	1	2.11	Brighton
33	4	2.01	1	0.4	Arsenal
34	2	2.32	1	0.43	Fulham
35	2	2.83	1	0.14	Leeds
36	3	1.04	0	1.19	Everton
37	1	1.21	0	1.16	Chelsea
38	0	1.19	1	1.44	Brentford
