Matchweek	Goals_scored	xgoals	Goals_concede	xgoals_allowed	vs
1	1	1.42	2	1.73	Brighton
2	0	0.9	4	1.39	Brentford
3	2	2.02	1	1.52	Liverpool
4	1	1.34	0	1.36	Southampton
5	1	1.1	0	0.62	Leicester
6	3	2.03	1	1.42	Arsenal
7	1	1.39	1	0.41	Crystal_Palace
8	2	2	2	0.55	Leeds
9	3	1.71	6	3.01	Manchester_City
10	2	1.83	1	0.37	Everton
11	0	1.42	0	0.79	Newcastle
12	2	1.71	0	0.66	Tottenham
13	1	0.73	1	1.2	Chelsea
14	1	1.75	0	1	West_Ham
15	1	0.52	3	0.58	Aston_Villa
16	2	3.38	1	1.7	Fulham
17	3	2.14	0	0.48	Nottingham_Forest
18	1	2.45	0	0.59	Wolverhampton_Wanderers
19	3	2.97	0	0.68	Bournemouth
20	2	1.98	1	0.74	Manchester_City
21	2	0.27	3	2.9	Arsenal
22	2	2.07	1	1.38	Crystal_Palace
23	2	1.3	0	1.89	Leeds
24	3	4.25	0	1.4	Leicester
25	1	1.14	0	0.64	Brentford
26	0	0.84	7	3.44	Liverpool
27	0	0.91	0	1.18	Southampton
28	0	1.32	1	2.1	Brighton
29	0	0.33	2	3.33	Newcastle
30	2	4.39	0	0.95	Everton
31	2	3.34	0	1.05	Nottingham_Forest
32	4	4.92	1	1.68	Chelsea
33	2	1.97	2	2.37	Tottenham
34	1	1.31	0	0.43	Aston_Villa
35	0	1.19	1	1.77	West_Ham
36	2	3.1	0	0.27	Wolverhampton_Wanderers
37	1	1.72	0	0.82	Bournemouth
38	2	2.75	1	1.88	Fulham
