Matchweek   Goals_scored        xgoals           Goals_concede        xgoals_allowed              vs
   1			   3			       1.79                 0                    1.33		           Norwich
   2           2               2.64                 0                    0.69               Burnley
   3           1               2.08                 1                    0.57               Chelsea
   4           3               4.40                 0                    0.65               Leeds
   5           3               2.77                 0                    0.64               Crystal_Palace
   6           3               2.26                 3                    2.94               Brentford
   7           2               0.95                 2                    1.04               Manchester_City 
   8           5               3.66                 0                    0.30               Watford
   9           5               4.05                 0                    1.36               Manchester_United
  10           2               1.40                 2                    1.51               Brighton
  11           3               1.25                 2                    1.46               West_Ham
  12           4               3.97                 0                    0.27               Arsenal
  13           4               3.07                 0                    0.97               Southampton
  14           4               2.86                 1                    0.51               Everton
  15           1               2.42                 0                    0.10               Wolverhampton_Wanderers
  16           1               2.71                 0                    0.14               Aston_Villa  
  17           3               2.94                 1                    0.21               Newcastle_United
  18           2               1.55                 2                    2.80               Tottenham
  19           6               5.33                 0                    0.14               Leeds
  20           0               2.73                 1                    0.62               Leicester
  21           2               1.79                 2                    1.39               Chelsea
  22           3               3.49                 0                    0.38               Brentford
  23           3               1.50                 1                    1.63               Crystal Palace
  24           2               2.73                 0                    0.54               Leicester
  25           1               1.96                 0                    1.16               Burnley    
  26           3               3.15                 1                    0.67               Norwich
  27           2               1.28                 0                    0.53               Arsenal
  28           1               2.19                 0                    1.34               West_Ham
  29           2               2.48                 0                    0.63               Brighton
  30           4               2.26                 0                    0.11               Manchester_United  
  31           2               2.24                 0                    0.75               Watford
  32           2               1.30                 2                    1.35               Manchester_City
  33           2               1.75                 1                    1.45               Aston_Villa
  34           2               1.70                 0                    0.42               Everton
  35           1               2.73                 0                    0.12               Newcastle_United
  36           1               1.05                 1                    0.98               Tottenham
  37           2               1.19                 1                    0.12               Southampton
  38           3               3.19                 1                    1.12               Wolverhampton_Wanderers  
