Matchweek  Goals_scored     xgoals           Goals_concede        xgoals_allowed            vs
   1			0			       2.11                 1                    1.06		           Tottenham
   2			5			       2.44                 0                    0.03               Norwich
   3			5			       4.47                 0                    0.12               Arsenal
   4  		1 			       2.75                 0                    0.80               Leicester
   5			0 			       1.22                 0                    0.49               Southampton
   6 			1 			       1.69                 0                    0.19               Chelsea
   7 			2			       1.04                 2                    0.95               Liverpool
   8			2 			       2.16                 0                    1.08               Burnley
   9 			4 			       3.57                 1                    1.17               Brighton
  10			0 			       0.66                 2                    1.05               Crystal_Palace
  11			2 			       2.04                 0                    0.76               Manchester_United
  12			3 			       2.61                 0                    0.27               Everton
  13			2 			       2.72                 1                    0.17               West_Ham
  14 			2 			       1.02                 1                    0.77               Aston_Villa
  15 			3 			       4.03                 1                    0.68               Watford  
  16        1 			       3.00                 0                    0.08               Wolverhampton_Wanderers     
  17			7 			       3.31                 0                    0.23               Leeds
  18 			4 			       3.65 		          0                    0.17               Newcastle_United
  19        6               3.83                 3                    2.43               Leicester
  20        1               1.02                 0                    0.24               Brentford
  21        2               1.95                 1                    0.84               Arsenal
  22        1               0.90                 0                    0.61               Chelsea
  23        1               1.63                 1                    1.00               Southampton
  24        2               1.98                 0                    0.46               Brentford
  25        4               4.45                 0                    0.36               Norwich
  26        2               2.32                 3                    2.00               Tottenham
  27        1               1.93                 0                    0.77               Everton
  28        4               2.74                 1                    0.36               Manchester_United
  29        0               2.04                 0                    0.47               Crystal_Palace
  30        3               1.53                 0                    0.12               Brighton
  31        2               1.62                 0                    0.06               Burnley
  32        2               1.35                 2                    1.30               Liverpool
  33        5               3.39                 1                    0.41               Wolverhampton_Wanderers
  34        5               3.68                 1                    0.43               Watford
  35        4               3.01                 0                    1.04               Leeds
  36        5               4.06                 0                    1.00               Newcastle_United  
  37        2               2.15                 2                    1.01               West_Ham 
  38        3               3.32                 2                    0.25               Aston_Villa
