Matchweek    Goals_scored       xgoals       Goals_concede         xgoals_allowed                   vs
   1			  5			       1.64 		      1                     0.57              Leeds
   2			  1			       2.26             1                     0.59              Southampton
   3			  1			       0.94             0                     1.80              Wolverhampton_Wanderers
   4  		  4 			       2.77             1                     0.62              Newcastle_United
   5			  2 			       1.90             1                     1.67              West_Ham 
   6 			  0 			       1.93             1                     1.57              Aston_Villa
   7 			  1			       1.05             1                     1.32              Everton
   8			  2 			       1.02             4                     2.97              Leicester
   9 			  0 			       1.36             5                     4.05              Liverpool
  10			  3 			       1.39             0                     1.16              Tottenham
  11			  0 			       0.76             2                     2.04              Manchester_City
  12			  1 			       1.67             4                     2.73              Watford
  13			  1 			       0.56             1                     2.35              Chelsea
  14			  3 			       1.86             2                     1.17              Arsenal
  15 			  1 			       0.87             0                     0.52              Crystal_Palace
  16      	  1 			       2.10             0                     0.99              Norwich
  17          3                2.06             1                     2.08              Brentford
  18          2                2.75             0                     1.26              Brighton
  19          1                1.76             1                     1.27              Newcastle_United
  20          3                1.81             1                     0.87              Burnley
  21          0                0.77             1                     0.84              Wolverhampton_Wanderers
  22          2                1.35             2                     1.83              Aston_Villa
  23          1                1.76             0                     0.24              West_Ham
  24          1                1.83             1                     0.77              Burnley
  25          1                2.99             1                     0.68              Southampton
  26          4                2.61             2                     1.74              Leeds
  27          0                2.41             0                     0.44              Watford
  28          1                0.36             4                     2.74              Manchester_City
  29          3                1.02             2                     1.82              Tottenham
  30          0                0.11             4                     2.26              Liverpool
  31          1                0.90             1                     1.08              Leicester
  32          0                0.76             1                     0.36              Everton
  33          3                1.67             2                     1.80              Norwich
  34          1                2.04             3                     2.54              Arsenal
  35          3                1.84             0                     0.68              Brentford
  36          0                0.93             4                     2.83              Brighton
  37          1                0.62             1                     2.47              Chelsea
  38          0                0.78             1                     0.35              Crystal_Palace
